fixture_id,fixture_date,vessel_id,route_id,commodity,qty_tonnes,freight_rate_usd_per_tonne,fob_price_usd_per_tonne,laycan_start,laycan_end,total_cost_usd
62,2026-05-01,2,14,coal_newcastle,53767,13.73,100.1,2026-05-12,2026-05-19,6120297.61
63,2026-05-13,23,2,coal_newcastle,65087,13.91,93.3,2026-05-27,2026-06-02,6977977.27
64,2026-06-26,16,1,coal_newcastle,86105,13.86,108.0,2026-07-05,2026-07-11,10492755.3
65,2025-12-01,28,54,corn_gulf,64494,13.4,213.1,2025-12-14,2025-12-21,14607891.0
66,2025-11-05,29,15,coal_newcastle,33882,12.42,97.0,2025-11-14,2025-11-20,3707368.44
67,2025-09-16,16,2,coal_newcastle,84057,12.25,73.8,2025-10-01,2025-10-07,7233104.85
68,2026-05-05,24,11,coal_newcastle,70630,13.78,104.8,2026-05-12,2026-05-19,8375305.4
69,2026-06-08,18,2,coal_newcastle,143290,13.68,111.5,2026-06-22,2026-06-29,17937042.2
70,2025-04-12,22,2,coal_newcastle,68089,11.32,105.9,2025-04-19,2025-04-25,7981392.58
71,2025-07-12,6,4,coal_newcastle,64844,12.65,102.4,2025-07-22,2025-07-26,7460302.2
72,2026-03-25,15,21,corn_gulf,52423,15.3,249.7,2026-04-03,2026-04-09,13892095.0
73,2025-10-27,9,54,wheat_gulf,41270,13.05,200.4,2025-11-09,2025-11-12,8809081.5
74,2026-01-27,12,15,coal_newcastle,44496,12.87,111.0,2026-02-11,2026-02-14,5511719.52
75,2026-06-30,25,2,coal_newcastle,56205,13.82,102.8,2026-07-08,2026-07-11,6554627.1
76,2025-07-01,20,10,coal_newcastle,42068,12.4,102.3,2025-07-13,2025-07-16,4825199.6
77,2025-10-25,19,14,coal_newcastle,62920,12.5,94.1,2025-11-03,2025-11-08,6707272.0
78,2026-01-05,6,39,coal_newcastle,47506,11.96,108.1,2026-01-12,2026-01-17,5703570.36
79,2025-03-14,4,38,coal_newcastle,80888,9.72,114.0,2025-03-28,2025-04-03,10007463.36
80,2025-04-08,13,46,wheat_gulf,35691,11.73,260.3,2025-04-23,2025-04-27,9709022.73
81,2026-03-31,4,45,coal_newcastle,79529,12.61,107.8,2026-04-15,2026-04-22,9576086.89
82,2026-04-12,26,8,coal_newcastle,58544,14.06,109.4,2026-04-17,2026-04-22,7227842.24
83,2026-02-02,18,28,coal_newcastle,137142,13.38,114.3,2026-02-08,2026-02-15,17510290.56
84,2026-05-09,21,22,wheat_gulf,46882,16.07,240.6,2026-05-21,2026-05-24,12033202.94
85,2026-02-26,14,24,corn_gulf,42506,15.81,225.0,2026-03-09,2026-03-13,10235869.86
86,2026-07-08,24,34,coal_newcastle,57700,13.07,103.1,2026-07-22,2026-07-29,6703009.0
87,2025-10-25,25,31,coal_newcastle,68545,12.45,94.1,2025-11-08,2025-11-13,7303469.75
88,2026-04-30,11,16,coal_newcastle,45679,13.69,96.6,2026-05-09,2026-05-15,5037936.91
89,2025-12-17,8,49,corn_gulf,119997,13.18,200.9,2026-01-01,2026-01-07,25688957.76
90,2025-11-09,11,2,coal_newcastle,61300,12.7,98.3,2025-11-16,2025-11-22,6804300.0
91,2025-08-22,7,23,corn_gulf,49163,14.1,224.8,2025-09-05,2025-09-10,11745040.7
92,2025-11-20,18,1,coal_newcastle,90084,13.08,107.0,2025-11-26,2025-11-30,10817286.72
93,2025-12-10,24,27,corn_gulf,55749,15.0,206.5,2025-12-22,2025-12-28,12348403.5
94,2025-04-17,15,51,wheat_gulf,49641,11.61,253.0,2025-04-25,2025-05-01,13135505.01
95,2025-08-04,23,16,coal_newcastle,61756,12.56,99.1,2025-08-18,2025-08-23,6895674.96
96,2025-11-27,16,36,coal_newcastle,85056,12.71,112.9,2025-12-08,2025-12-15,10683884.16
97,2025-07-17,11,23,corn_gulf,60094,14.54,209.4,2025-07-26,2025-07-30,13457450.36
98,2025-08-09,4,47,wheat_gulf,55670,12.97,232.3,2025-08-22,2025-08-26,13654180.9
99,2026-03-14,7,14,coal_newcastle,55866,13.32,107.0,2026-03-23,2026-03-30,6721797.12
100,2025-12-31,25,34,coal_newcastle,58546,12.79,105.6,2026-01-06,2026-01-10,6931260.94
101,2025-09-01,10,15,coal_newcastle,42939,12.02,82.8,2025-09-10,2025-09-13,4071475.98
102,2025-05-04,23,35,coal_newcastle,48988,11.86,109.7,2025-05-09,2025-05-12,5954981.28
103,2026-01-21,18,19,wheat_gulf,168680,14.91,230.9,2026-01-27,2026-01-30,41463230.8
104,2025-11-01,19,19,corn_gulf,54433,14.93,210.8,2025-11-11,2025-11-15,12287161.09
105,2026-06-25,2,17,coal_newcastle,55654,13.59,108.1,2026-07-01,2026-07-04,6772535.26
106,2025-04-07,13,32,coal_newcastle,35675,11.29,101.2,2025-04-22,2025-04-25,4013080.75
107,2026-04-20,5,10,coal_newcastle,113772,14.06,113.0,2026-04-29,2026-05-02,14455870.32
108,2025-12-11,8,8,coal_newcastle,140197,13.09,110.8,2025-12-22,2025-12-29,17369006.33
109,2026-04-02,20,51,wheat_gulf,48561,13.53,248.4,2026-04-13,2026-04-19,12719582.73
110,2025-07-31,30,29,coal_newcastle,78569,12.83,100.0,2025-08-11,2025-08-16,8864940.27
111,2025-03-31,19,40,coal_newcastle,59976,10.39,107.9,2025-04-06,2025-04-10,7094561.04
112,2025-07-14,21,14,coal_newcastle,50820,12.35,96.3,2025-07-20,2025-07-24,5521593.0
113,2025-12-08,8,12,coal_newcastle,49838,12.84,109.5,2025-12-15,2025-12-18,6097180.92
114,2026-02-16,14,29,coal_newcastle,49729,13.62,102.4,2026-02-28,2026-03-05,5769558.58
115,2025-07-26,2,15,coal_newcastle,63165,12.4,99.0,2025-08-04,2025-08-10,7036581.0
116,2025-06-28,3,44,coal_newcastle,44334,12.02,105.8,2025-07-13,2025-07-20,5223431.88
117,2025-10-04,22,52,wheat_gulf,47521,13.18,222.3,2025-10-17,2025-10-21,11190245.08
118,2026-06-09,21,10,coal_newcastle,44352,13.45,105.4,2026-06-16,2026-06-19,5271235.2
119,2026-04-10,2,11,coal_newcastle,50079,13.78,115.3,2026-04-24,2026-05-01,6464197.32
120,2025-05-03,30,19,corn_gulf,70716,14.21,214.9,2025-05-12,2025-05-18,16201742.76
121,2025-12-02,9,33,coal_newcastle,72361,12.81,108.9,2025-12-14,2025-12-17,8807057.31
122,2026-05-30,20,3,coal_newcastle,47078,13.81,111.0,2026-06-09,2026-06-16,5875805.18
123,2025-04-16,9,2,coal_newcastle,55002,11.31,103.6,2025-05-01,2025-05-08,6320279.82
124,2026-03-27,19,2,coal_newcastle,62029,13.43,106.9,2026-04-05,2026-04-12,7463949.57
125,2025-10-27,2,49,wheat_gulf,57005,13.13,200.4,2025-11-11,2025-11-17,12172277.65
126,2025-06-01,30,18,coal_newcastle,78360,12.25,132.4,2025-06-12,2025-06-18,11334774.0
127,2025-08-26,3,31,coal_newcastle,46690,11.93,80.4,2025-09-05,2025-09-10,4310887.7
128,2026-05-14,22,7,coal_newcastle,50539,14.1,92.1,2026-05-24,2026-05-30,5367241.8
129,2025-07-26,23,32,coal_newcastle,61711,12.34,99.0,2025-08-06,2025-08-13,6870902.74
130,2025-04-15,2,30,coal_newcastle,50306,11.04,102.6,2025-04-24,2025-04-29,5716773.84
131,2026-05-17,4,50,corn_gulf,107449,13.98,247.4,2026-05-22,2026-05-29,28085019.62
132,2025-06-05,15,27,wheat_gulf,56988,14.69,246.6,2025-06-15,2025-06-22,14890394.52
133,2026-01-15,25,32,coal_newcastle,68969,12.76,113.6,2026-01-20,2026-01-24,8714922.84
134,2025-05-07,9,36,coal_newcastle,58876,12.1,112.0,2025-05-19,2025-05-25,7306511.6
135,2026-07-12,4,2,coal_newcastle,122578,13.33,108.9,2026-07-26,2026-07-30,14982708.94
136,2025-08-07,23,11,coal_newcastle,58049,12.41,96.8,2025-08-12,2025-08-19,6339531.29
137,2025-06-24,14,6,coal_newcastle,41858,12.88,99.5,2025-07-06,2025-07-09,4704002.04
138,2025-11-11,21,54,wheat_gulf,51740,12.99,177.2,2025-11-20,2025-11-27,9840430.6
139,2025-09-29,23,18,coal_newcastle,55810,12.62,80.7,2025-10-11,2025-10-15,5208189.2
140,2025-05-14,15,36,coal_newcastle,52569,12.63,125.6,2025-05-22,2025-05-29,7266612.87
141,2026-05-17,17,48,wheat_gulf,41143,14.01,245.4,2026-05-26,2026-06-01,10672905.63
142,2026-04-25,11,51,corn_gulf,40168,14.23,259.9,2026-05-04,2026-05-09,11011253.84
143,2025-12-22,27,38,coal_newcastle,61624,12.35,112.8,2026-01-03,2026-01-07,7712243.6
144,2025-11-03,15,35,coal_newcastle,51309,12.68,100.8,2025-11-13,2025-11-20,5822545.32
145,2025-09-10,25,35,coal_newcastle,69841,12.15,79.7,2025-09-20,2025-09-24,6414895.85
146,2025-12-18,23,16,coal_newcastle,52549,12.84,113.9,2025-12-26,2026-01-01,6660060.26
147,2026-02-25,2,21,corn_gulf,52492,15.84,227.8,2026-03-08,2026-03-12,12789150.88
148,2025-05-04,16,3,coal_newcastle,105836,12.21,109.7,2025-05-18,2025-05-23,12902466.76
149,2026-05-22,28,7,coal_newcastle,67690,14.01,100.1,2026-06-03,2026-06-06,7724105.9
150,2025-03-08,17,30,coal_newcastle,42361,10.04,106.1,2025-03-19,2025-03-23,4919806.54
151,2026-04-05,3,31,coal_newcastle,44342,13.25,116.4,2026-04-15,2026-04-22,5748940.3
152,2026-05-11,23,26,wheat_gulf,50766,15.95,233.9,2026-05-26,2026-06-02,12683885.1
153,2026-05-21,13,21,corn_gulf,35639,15.74,236.9,2026-05-26,2026-06-02,9003836.96
154,2026-01-18,3,16,coal_newcastle,51213,12.65,110.3,2026-01-27,2026-01-31,6296638.35
155,2025-10-09,24,6,coal_newcastle,46451,12.92,75.7,2025-10-24,2025-10-27,4116487.62
156,2026-02-19,15,11,coal_newcastle,49812,13.7,105.7,2026-02-24,2026-02-27,5947552.8
157,2025-07-29,11,51,wheat_gulf,63492,13.14,257.2,2025-08-08,2025-08-14,17164427.28
158,2025-11-27,5,16,coal_newcastle,94008,12.81,112.9,2025-12-11,2025-12-15,11817745.68
159,2025-04-10,6,12,coal_newcastle,65070,11.31,105.0,2025-04-24,2025-04-28,7568291.7
160,2025-05-13,16,38,coal_newcastle,70433,12.07,120.8,2025-05-25,2025-05-30,9358432.71
161,2026-02-05,15,17,coal_newcastle,40307,13.53,111.1,2026-02-17,2026-02-22,5023461.41
162,2025-05-20,22,35,coal_newcastle,44840,12.57,122.9,2025-06-01,2025-06-06,6074474.8
163,2026-02-17,19,20,corn_gulf,48195,15.78,233.0,2026-03-01,2026-03-06,11989952.1
164,2025-04-24,7,25,corn_gulf,47772,13.76,223.4,2025-05-05,2025-05-12,11329607.52
165,2025-07-30,12,37,coal_newcastle,59348,12.1,97.6,2025-08-04,2025-08-10,6510475.6
166,2025-12-15,9,1,coal_newcastle,43214,12.9,117.1,2025-12-29,2026-01-04,5617820.0
167,2026-01-05,27,19,wheat_gulf,66277,14.85,219.2,2026-01-15,2026-01-19,15512131.85
168,2026-01-12,21,13,coal_newcastle,44106,12.68,115.5,2026-01-27,2026-01-31,5653507.08
169,2026-06-06,21,7,coal_newcastle,50280,13.72,108.9,2026-06-21,2026-06-24,6165333.6
170,2025-03-18,10,51,corn_gulf,49495,11.02,209.8,2025-03-28,2025-04-01,10929485.9
171,2026-03-18,3,19,corn_gulf,46807,15.53,224.1,2026-03-25,2026-03-29,11216361.41
172,2025-11-27,5,51,corn_gulf,105771,13.22,210.5,2025-12-06,2025-12-10,23663088.12
173,2026-07-09,9,53,corn_gulf,59342,13.35,235.7,2026-07-19,2026-07-22,14779125.1
174,2025-05-12,15,5,coal_newcastle,64712,13.03,119.1,2025-05-20,2025-05-26,8550396.56
175,2025-04-16,28,52,corn_gulf,65909,11.46,223.9,2025-04-27,2025-04-30,15512342.24
176,2025-05-03,9,35,coal_newcastle,69804,11.87,112.4,2025-05-13,2025-05-18,8674543.08
177,2025-04-25,19,25,corn_gulf,62113,13.91,222.5,2025-05-03,2025-05-09,14684134.33
178,2026-05-27,1,40,coal_newcastle,49198,13.09,103.8,2026-06-06,2026-06-13,5750754.22
179,2025-04-02,8,42,coal_newcastle,123283,10.47,106.9,2025-04-14,2025-04-19,14469725.71
180,2025-05-11,21,27,wheat_gulf,40742,14.79,271.6,2025-05-16,2025-05-21,11668101.38
181,2025-04-19,16,8,coal_newcastle,70775,11.77,103.7,2025-05-02,2025-05-06,8172389.25
182,2025-09-06,13,30,coal_newcastle,35771,12.03,82.1,2025-09-19,2025-09-25,3367124.23
183,2026-05-28,19,48,wheat_gulf,53594,14.2,238.8,2026-06-12,2026-06-15,13559282.0
184,2026-01-10,27,32,coal_newcastle,53373,12.62,115.2,2026-01-19,2026-01-22,6822136.86
185,2025-10-14,23,24,wheat_gulf,54571,14.78,219.2,2025-10-22,2025-10-27,12768522.58
186,2025-09-05,4,44,coal_newcastle,111364,11.53,84.1,2025-09-20,2025-09-25,10649739.32
187,2025-06-06,2,26,corn_gulf,44002,14.64,207.7,2025-06-18,2025-06-21,9783404.68
188,2026-01-23,22,14,coal_newcastle,81909,12.78,112.4,2026-02-06,2026-02-09,10253368.62
189,2025-07-03,2,51,corn_gulf,44126,12.71,220.3,2025-07-17,2025-07-21,10281799.26
190,2025-12-26,3,54,wheat_gulf,43538,13.16,231.3,2026-01-03,2026-01-08,10643299.48
191,2026-04-08,25,10,coal_newcastle,79058,13.75,116.0,2026-04-13,2026-04-18,10257775.5
192,2025-05-06,28,10,coal_newcastle,57701,12.14,109.5,2025-05-15,2025-05-19,7018749.64
193,2026-05-18,4,43,coal_newcastle,43379,13.05,96.2,2026-05-25,2026-05-28,4739155.75
194,2025-12-27,12,51,wheat_gulf,61218,13.29,234.4,2026-01-01,2026-01-05,15163086.42
195,2025-05-04,9,4,coal_newcastle,67588,12.23,109.7,2025-05-17,2025-05-20,8241004.84
196,2025-10-30,24,5,coal_newcastle,69378,12.78,92.7,2025-11-09,2025-11-16,7317991.44
197,2025-10-18,19,7,coal_newcastle,56509,12.86,79.8,2025-10-26,2025-11-02,5236123.94
198,2025-10-21,2,47,corn_gulf,61080,13.12,197.8,2025-10-26,2025-10-29,12882993.6
199,2026-02-15,16,26,corn_gulf,54150,15.73,235.0,2026-02-27,2026-03-05,13577029.5
200,2025-08-12,3,6,coal_newcastle,49966,12.49,91.3,2025-08-19,2025-08-22,5185971.14
201,2026-01-14,5,18,coal_newcastle,122978,12.69,114.6,2026-01-28,2026-02-04,15653869.62
202,2025-12-31,23,21,corn_gulf,57385,15.09,216.8,2026-01-09,2026-01-15,13307007.65
203,2025-10-07,17,39,coal_newcastle,41624,11.88,80.7,2025-10-13,2025-10-20,3853549.92
204,2025-10-07,24,14,coal_newcastle,69593,12.54,80.7,2025-10-15,2025-10-21,6488851.32
205,2025-09-21,11,53,corn_gulf,67262,12.71,213.2,2025-09-27,2025-10-02,15195158.42
206,2025-09-08,14,21,corn_gulf,42500,14.36,233.8,2025-09-23,2025-09-29,10546800.0
207,2026-04-30,3,6,coal_newcastle,41398,14.0,96.6,2026-05-06,2026-05-12,4578618.8
208,2026-04-20,4,48,corn_gulf,57054,14.43,255.3,2026-05-03,2026-05-06,15389175.42
209,2025-12-13,19,36,coal_newcastle,50801,12.81,115.5,2025-12-28,2025-12-31,6518276.31
210,2026-05-19,14,23,corn_gulf,40842,15.79,243.1,2026-05-28,2026-06-04,10573585.38
211,2025-12-21,10,23,wheat_gulf,48313,15.17,220.3,2025-12-29,2026-01-02,11376262.11
212,2025-06-23,22,31,coal_newcastle,47092,12.53,98.5,2025-07-03,2025-07-10,5228624.76
213,2026-03-26,12,8,coal_newcastle,58256,13.4,108.0,2026-04-09,2026-04-13,7072278.4
214,2026-05-07,26,28,coal_newcastle,58381,13.86,96.1,2026-05-21,2026-05-28,6419574.76
215,2025-12-11,22,42,coal_newcastle,41720,12.16,110.8,2025-12-25,2025-12-30,5129891.2
216,2025-07-18,1,12,coal_newcastle,51513,12.4,97.9,2025-07-27,2025-08-01,5681883.9
217,2025-06-01,12,1,coal_newcastle,49388,12.52,132.4,2025-06-15,2025-06-21,7157308.96
218,2026-03-15,3,10,coal_newcastle,50373,13.3,105.8,2026-03-20,2026-03-23,5999424.3
219,2025-06-19,24,34,coal_newcastle,64654,12.4,107.0,2025-06-30,2025-07-06,7719687.6
220,2025-09-06,11,11,coal_newcastle,60423,12.11,82.1,2025-09-16,2025-09-23,5692450.83
221,2026-05-27,20,6,coal_newcastle,40861,14.02,103.8,2026-06-03,2026-06-07,4814243.02
222,2025-03-26,25,40,coal_newcastle,45346,9.85,110.8,2025-04-04,2025-04-10,5470994.9
223,2025-11-04,22,28,coal_newcastle,79785,12.67,102.0,2025-11-16,2025-11-22,9148945.95
224,2026-03-22,9,14,coal_newcastle,73577,13.36,107.3,2026-03-28,2026-04-02,8877800.82
225,2025-07-24,14,8,coal_newcastle,49717,12.58,102.9,2025-08-05,2025-08-12,5741319.16
226,2025-06-21,22,20,wheat_gulf,65903,14.81,260.6,2025-07-05,2025-07-08,18150345.23
227,2025-08-02,1,14,coal_newcastle,43460,12.71,101.7,2025-08-09,2025-08-14,4972258.6
228,2025-03-04,10,21,wheat_gulf,48149,12.31,226.7,2025-03-15,2025-03-19,11508092.49
229,2025-11-12,5,25,wheat_gulf,113233,14.67,179.9,2025-11-27,2025-12-02,22031744.81
230,2025-10-10,3,26,wheat_gulf,40307,14.9,225.4,2025-10-22,2025-10-25,9685772.1
231,2025-12-19,28,21,corn_gulf,53252,15.12,208.3,2026-01-03,2026-01-09,11897561.84
232,2025-09-24,10,8,coal_newcastle,40341,12.78,81.5,2025-10-04,2025-10-08,3803349.48
233,2025-10-22,26,40,coal_newcastle,62597,11.92,86.6,2025-11-01,2025-11-04,6167056.44
234,2025-07-03,14,7,coal_newcastle,47138,12.62,102.7,2025-07-17,2025-07-23,5435954.16
235,2025-09-19,17,6,coal_newcastle,45083,12.62,77.3,2025-09-29,2025-10-03,4053863.36
236,2025-04-09,11,50,wheat_gulf,73455,11.68,249.7,2025-04-24,2025-04-27,19199667.9
237,2025-06-08,17,33,coal_newcastle,45724,12.23,118.4,2025-06-18,2025-06-22,5972926.12
238,2025-05-14,8,7,coal_newcastle,73550,13.05,125.6,2025-05-22,2025-05-26,10197707.5
239,2026-03-25,20,10,coal_newcastle,50739,13.17,107.1,2026-03-31,2026-04-04,6102379.53
240,2025-11-08,25,41,coal_newcastle,70405,11.85,103.1,2025-11-22,2025-11-29,8093054.75
241,2026-06-17,15,44,coal_newcastle,58497,13.38,110.2,2026-07-02,2026-07-09,7229059.26
242,2025-08-09,11,41,coal_newcastle,49893,11.9,93.1,2025-08-21,2025-08-24,5238765.0
243,2026-01-18,16,29,coal_newcastle,79691,12.66,110.3,2026-01-27,2026-02-03,9798805.36
244,2025-08-06,2,23,wheat_gulf,55130,14.64,231.5,2025-08-18,2025-08-21,13569698.2
245,2025-04-09,2,24,corn_gulf,61124,13.44,209.8,2025-04-15,2025-04-22,13645321.76
246,2025-09-13,20,33,coal_newcastle,47581,12.13,77.4,2025-09-27,2025-10-04,4259926.93
247,2025-10-17,26,48,wheat_gulf,66536,12.91,214.6,2025-10-31,2025-11-04,15137605.36
248,2025-10-30,11,39,coal_newcastle,72857,11.85,92.7,2025-11-06,2025-11-09,7617199.35
249,2026-04-20,15,7,coal_newcastle,67439,14.29,113.0,2026-04-30,2026-05-03,8584310.31
250,2025-05-28,17,42,coal_newcastle,40641,11.73,138.5,2025-06-05,2025-06-11,6105497.43
